-7 -9 -10002 -1005 -1002 -10 8 -1000 -10001 -10003 -10001 -10002 -10000 10 -7 -9 
-10003 8 -10001 -10000 -10 -1000 -3 -1001 -1000 -1003 -1004 -1002 -1005 -10001 -1003 -10000 
-10003 -10000 -10001 -6 8 -10003 -10000 -1003 -2 -10003 -1 -10003 -10001 -10003 -1003 -10000 
-1001 -10002 -1001 -7 4 -10003 -1 -10001 -5 -10001 -10000 -10001 -9 -10003 -10003 -10001 
-1004 -1003 3 -10003 -9 -10001 -10002 -10003 -10002 -10003 -1 4 -10002 -10 -1000 -10002 
-1005 -1001 -1003 -10001 -10000 -10002 -10003 -10000 -1003 -10001 -10003 -10000 7 -10001 -1002 -10000 
-1000 -10003 -1003 -10000 -10003 -10000 -10003 -10003 -10000 -10003 -4 -10003 -1004 -10002 -1005 -10001 
-10000 -10002 -1003 -1001 -10003 4 -10000 -2 -10002 -10002 -10003 -1004 2 -1002 -10002 -1002 
-1004 -10 -10002 -10000 2 -10001 -10001 -10001 -10003 -10000 -10002 -1002 3 3 -10002 -1005 
-10001 -10001 -1003 -10003 -10000 -10003 -10003 -1005 6 -10000 -1000 -10002 -10003 -10003 -10000 8 
-10001 -10001 -2 -1003 -10000 -1000 -10003 -4 -10000 -10002 -1004 -10003 -10002 9 -1002 -10003 
-10000 -5 -10002 -5 -10001 4 -10003 -10003 -1000 -8 -10002 -5 -1005 -10001 -9 -1005 
-10001 -10000 -10000 -10001 -10000 -1005 -10003 -10003 -10003 10 -1001 -1000 -1001 -10002 2 -10000 
-10001 -10003 -1001 -10000 -1003 -1000 -10003 -10003 -10002 9 -10000 -6 -1002 -10000 6 5 
9 -10002 -9 -1005 -1002 -10003 2 -10002 -1 -6 -9 -8 -10001 -1004 -10000 -10000 
-1001 -10001 8 -10 -10002 -10001 -1005 -10001 -10 -6 -10000 -10003 -10000 -4 -10000 -10002 
